matchId,game_id,season,gameDuration,gameMode,gameCreation
EUW1_5622838856,5622838856,11,2730,CLASSIC,1640185253000
EUW1_5618496300,5618496300,11,1895,CLASSIC,1639951524000
EUW1_5618246711,5618246711,11,2353,CLASSIC,1639948678000
EUW1_5616838186,5616838186,11,2227,CLASSIC,1639880784000
EUW1_5616487628,5616487628,11,1730,CLASSIC,1639865564000
EUW1_5616535085,5616535085,11,198,CLASSIC,1639864963000
EUW1_5611616432,5611616432,11,1536,CLASSIC,1639614411000
EUW1_5611593717,5611593717,11,1311,CLASSIC,1639612411000
EUW1_5598499835,5598499835,11,1847,CLASSIC,1638976487000
EUW1_5596737645,5596737645,11,2074,CLASSIC,1638903654000
EUW1_5596681920,5596681920,11,1435,CLASSIC,1638901235000
EUW1_5594851412,5594851412,11,1097,CLASSIC,1638800988000
EUW1_5585961833,5585961833,11,2184,CLASSIC,1638367362000
EUW1_5584686750,5584686750,11,3269,CLASSIC,1638303992000
EUW1_5584451089,5584451089,11,2223,CLASSIC,1638293822000
EUW1_5584221738,5584221738,11,1897,CLASSIC,1638285859000
EUW1_5669479913,5669479913,12,1993,CLASSIC,1642261171000
EUW1_5669432892,5669432892,12,1978,CLASSIC,1642258840000
EUW1_5669277840,5669277840,12,1510,CLASSIC,1642254133000
EUW1_5669118763,5669118763,12,2169,CLASSIC,1642250432000
EUW1_5669021242,5669021242,12,1518,CLASSIC,1642242127000
EUW1_5668927713,5668927713,12,1628,CLASSIC,1642239827000
EUW1_5665952728,5665952728,12,1693,CLASSIC,1642100545000
EUW1_5665494639,5665494639,12,1366,CLASSIC,1642097916000
EUW1_5664099133,5664099133,12,1985,CLASSIC,1642020209000
EUW1_5664102651,5664102651,12,1244,CLASSIC,1642018497000
EUW1_5664053378,5664053378,12,2067,CLASSIC,1642015987000
EUW1_5663877767,5663877767,12,1392,CLASSIC,1642014183000
EUW1_5663891635,5663891635,12,1283,CLASSIC,1642012474000
EUW1_5663357514,5663357514,12,2167,CLASSIC,1641992773000
EUW1_5657574093,5657574093,12,1850,CLASSIC,1641743363000
EUW1_5657384393,5657384393,12,2565,CLASSIC,1641738085000
EUW1_5657238244,5657238244,12,1383,CLASSIC,1641736027000
